Hours_Studied,Attendance,Sleep_Hours,Previous_Scores,Tutoring_Sessions,Physical_Activity,Exam_Score
20.0,92.0,7,58.0,2,4,70
20.0,61.0,9,81.0,0,2,63
14.0,88.0,7,66.0,4,3,69
17.0,92.0,8,,1,3,68
14.0,62.0,9,73.0,1,6,61
28.0,64.0,6,89.0,0,4,64
25.0,95.0,7,78.0,7,4,73
26.0,68.0,8,90.0,4,3,70
13.0,80.0,9,,1,3,68
21.0,96.0,8,,1,2,73
25.0,79.0,7,64.0,0,3,66
12.0,76.0,9,50.0,2,3,64
20.0,72.0,7,84.0,2,2,65
19.0,,8,78.0,1,3,67
8.0,97.0,10,70.0,0,1,66
29.0,,10,91.0,2,4,70
30.0,73.0,9,70.0,0,4,69
20.0,94.0,8,89.0,0,4,70
22.0,76.0,8,59.0,1,2,66
17.0,67.0,9,63.0,1,4,61
21.0,97.0,6,80.0,2,4,72
15.0,78.0,9,63.0,2,3,65
12.0,88.0,6,72.0,2,2,64
28.0,69.0,7,88.0,2,2,68
30.0,74.0,8,94.0,0,3,70
30.0,75.0,4,,0,4,67
20.0,62.0,6,59.0,3,4,64
27.0,91.0,8,70.0,1,6,70
22.0,91.0,8,95.0,1,2,70
21.0,95.0,4,55.0,2,1,71
13.0,85.0,9,,3,2,68
9.0,80.0,4,52.0,1,2,63
20.0,83.0,7,100.0,4,3,68
11.0,,7,72.0,3,3,67
24.0,79.0,7,60.0,0,3,65
16.0,66.0,7,99.0,1,3,65
17.0,,7,70.0,0,3,61
19.0,83.0,8,54.0,1,4,66
10.0,95.0,5,93.0,0,3,69
32.0,72.0,8,,1,4,71
13.0,69.0,8,70.0,1,3,61
14.0,94.0,6,76.0,0,3,64
12.0,79.0,9,80.0,1,2,63
20.0,85.0,5,75.0,1,2,67
25.0,62.0,8,77.0,0,4,62
14.0,89.0,6,94.0,0,2,68
,63.0,5,81.0,0,2,65
20.0,68.0,6,80.0,4,4,65
13.0,92.0,6,74.0,2,2,68
13.0,69.0,5,68.0,0,1,59
21.0,93.0,8,82.0,2,4,70
17.0,84.0,7,85.0,0,2,67
7.0,61.0,4,76.0,1,5,60
19.0,82.0,6,74.0,1,2,64
9.0,98.0,9,64.0,1,3,67
27.0,99.0,9,96.0,0,2,74
20.0,72.0,6,79.0,1,4,66
25.0,72.0,6,59.0,2,3,66
22.0,64.0,6,66.0,1,4,64
22.0,83.0,8,96.0,2,0,71
22.0,62.0,8,64.0,0,3,63
12.0,75.0,8,75.0,1,2,63
11.0,72.0,6,94.0,2,3,63
14.0,63.0,7,79.0,1,3,61
29.0,79.0,5,89.0,0,3,72
18.0,70.0,4,56.0,1,4,65
4.0,91.0,4,86.0,3,4,64
17.0,88.0,8,94.0,5,2,70
21.0,68.0,5,66.0,2,3,64
24.0,72.0,7,61.0,3,2,67
13.0,98.0,6,71.0,1,1,70
20.0,98.0,8,67.0,0,3,71
18.0,78.0,9,83.0,2,2,66
13.0,91.0,10,66.0,2,4,69
18.0,94.0,7,70.0,2,3,69
29.0,70.0,7,72.0,1,4,67
36.0,89.0,8,62.0,2,3,72
24.0,91.0,6,59.0,0,4,69
22.0,73.0,7,67.0,3,2,65
27.0,81.0,7,77.0,2,2,69
22.0,86.0,6,55.0,5,3,71
22.0,78.0,5,96.0,0,3,67
20.0,66.0,6,91.0,0,5,65
15.0,71.0,7,78.0,0,3,63
12.0,79.0,8,73.0,2,4,65
27.0,86.0,6,74.0,2,3,71
19.0,99.0,6,100.0,1,1,72
7.0,80.0,9,83.0,3,3,62
19.0,79.0,8,92.0,1,2,68
30.0,63.0,8,97.0,1,3,69
18.0,70.0,7,93.0,0,3,67
30.0,98.0,7,96.0,1,3,77
13.0,85.0,7,84.0,0,5,64
24.0,93.0,8,96.0,0,1,73
31.0,84.0,5,87.0,0,3,71
8.0,100.0,8,92.0,1,3,70
26.0,62.0,6,59.0,1,3,63
14.0,94.0,7,74.0,1,5,70
15.0,67.0,8,89.0,0,4,64
16.0,,7,74.0,1,3,64
27.0,67.0,6,90.0,2,3,67
13.0,71.0,7,86.0,2,3,65
9.0,95.0,7,97.0,1,2,67
17.0,87.0,7,79.0,3,4,68
20.0,89.0,8,85.0,2,1,70
23.0,88.0,8,66.0,2,2,69
21.0,76.0,6,65.0,2,2,65
24.0,91.0,6,56.0,1,2,70
27.0,71.0,8,69.0,1,4,67
13.0,65.0,7,74.0,0,2,60
21.0,98.0,7,95.0,3,1,72
13.0,95.0,4,83.0,1,4,67
39.0,92.0,9,73.0,1,4,75
22.0,91.0,10,51.0,2,3,69
23.0,71.0,9,75.0,1,2,63
29.0,73.0,7,76.0,2,3,68
16.0,86.0,7,94.0,2,3,69
25.0,80.0,10,88.0,0,2,67
11.0,94.0,8,94.0,2,2,67
26.0,69.0,10,87.0,2,2,67
19.0,69.0,6,67.0,4,4,66
21.0,64.0,7,73.0,2,2,61
11.0,91.0,5,53.0,0,2,64
,71.0,6,52.0,0,1,62
17.0,96.0,7,84.0,2,3,72
15.0,,7,80.0,0,3,66
5.0,84.0,8,93.0,4,3,68
24.0,68.0,9,92.0,1,2,67
11.0,86.0,6,84.0,0,3,67
19.0,75.0,8,52.0,0,4,64
15.0,80.0,7,57.0,1,4,63
15.0,65.0,8,51.0,1,3,61
22.0,77.0,7,72.0,2,3,67
30.0,73.0,7,68.0,0,2,67
5.0,88.0,7,59.0,3,3,63
14.0,,7,73.0,2,3,68
6.0,66.0,7,62.0,2,4,61
23.0,81.0,8,69.0,5,2,69
20.0,64.0,8,82.0,3,3,64
13.0,70.0,7,100.0,3,3,65
27.0,76.0,8,67.0,1,4,69
20.0,60.0,6,70.0,2,3,63
20.0,67.0,6,93.0,1,3,62
20.0,82.0,4,68.0,2,3,67
4.0,73.0,5,97.0,1,1,60
22.0,99.0,7,51.0,2,4,72
18.0,,8,86.0,5,2,67
22.0,77.0,5,84.0,3,2,66
16.0,76.0,7,88.0,0,2,65
14.0,81.0,8,71.0,1,3,63
24.0,77.0,9,99.0,1,1,70
15.0,89.0,8,96.0,3,3,69
17.0,68.0,8,70.0,2,4,64
28.0,64.0,8,78.0,2,3,66
18.0,72.0,8,79.0,1,4,65
21.0,92.0,8,51.0,0,2,66
18.0,75.0,7,53.0,0,2,63
24.0,84.0,6,99.0,1,2,70
21.0,85.0,7,52.0,5,3,71
19.0,76.0,6,65.0,0,4,63
27.0,83.0,10,,0,4,69
11.0,90.0,8,59.0,1,4,64
16.0,87.0,5,76.0,1,2,67
12.0,82.0,10,77.0,0,4,66
21.0,87.0,7,65.0,2,3,67
20.0,67.0,6,67.0,1,2,66
13.0,79.0,7,60.0,1,4,66
22.0,98.0,6,64.0,0,3,71
18.0,91.0,6,83.0,2,4,68
27.0,77.0,7,86.0,1,3,70
18.0,74.0,6,78.0,0,2,65
18.0,70.0,5,81.0,2,2,63
6.0,76.0,8,63.0,5,3,64
22.0,88.0,5,60.0,1,2,67
13.0,96.0,10,51.0,1,3,67
13.0,77.0,6,85.0,2,4,65
12.0,82.0,6,65.0,3,3,64
17.0,90.0,8,65.0,2,3,71
13.0,99.0,7,81.0,0,4,71
18.0,77.0,6,61.0,1,3,65
15.0,71.0,8,60.0,0,3,62
19.0,72.0,6,66.0,0,2,64
20.0,63.0,9,53.0,1,4,60
18.0,79.0,6,96.0,3,3,69
13.0,77.0,6,76.0,1,4,62
24.0,96.0,8,75.0,1,1,72
17.0,77.0,9,67.0,0,5,62
22.0,72.0,9,64.0,1,2,66
15.0,64.0,9,55.0,1,3,64
15.0,77.0,7,95.0,4,4,65
21.0,82.0,9,58.0,0,2,65
24.0,94.0,8,60.0,0,3,68
25.0,96.0,5,69.0,0,4,71
24.0,71.0,5,64.0,1,3,66
22.0,93.0,6,52.0,1,3,69
17.0,94.0,6,80.0,0,1,69
20.0,85.0,6,81.0,1,3,68
9.0,78.0,7,98.0,3,2,64
19.0,64.0,7,56.0,0,4,62
8.0,64.0,7,66.0,1,3,60
11.0,97.0,8,83.0,4,2,68
26.0,91.0,8,65.0,0,2,70
18.0,83.0,5,66.0,0,4,69
24.0,96.0,6,93.0,2,2,94
12.0,63.0,8,56.0,4,4,61
3.0,60.0,5,76.0,0,4,58
21.0,66.0,7,63.0,0,3,64
24.0,72.0,10,76.0,1,3,66
6.0,,10,94.0,1,4,63
18.0,97.0,9,88.0,1,3,70
23.0,94.0,5,100.0,2,2,73
32.0,63.0,8,91.0,2,5,68
12.0,73.0,5,60.0,1,4,62
12.0,80.0,9,71.0,1,3,60
25.0,65.0,5,90.0,2,3,68
21.0,85.0,6,77.0,2,3,66
25.0,63.0,9,54.0,3,2,64
16.0,70.0,8,98.0,2,3,65
18.0,95.0,7,87.0,5,2,74
27.0,78.0,8,55.0,3,2,69
21.0,95.0,5,87.0,2,4,70
23.0,84.0,8,93.0,1,3,72
26.0,73.0,7,96.0,0,3,68
14.0,64.0,8,62.0,1,4,61
27.0,70.0,6,99.0,2,2,68
25.0,85.0,9,68.0,1,3,71
22.0,87.0,7,75.0,0,2,70
18.0,64.0,6,51.0,2,1,62
18.0,88.0,8,96.0,1,3,69
14.0,81.0,9,90.0,3,3,69
17.0,99.0,8,62.0,3,3,70
19.0,77.0,6,54.0,3,2,66
20.0,67.0,9,96.0,1,3,68
19.0,60.0,8,73.0,3,3,63
25.0,98.0,8,56.0,0,3,71
22.0,93.0,6,67.0,0,3,68
31.0,94.0,5,92.0,1,4,72
15.0,80.0,8,80.0,1,4,65
18.0,93.0,7,76.0,2,4,96
25.0,61.0,8,65.0,3,3,65
29.0,66.0,6,66.0,0,3,68
17.0,93.0,8,76.0,0,3,67
24.0,66.0,8,81.0,1,4,65
18.0,73.0,7,94.0,1,3,68
25.0,88.0,5,51.0,1,1,68
23.0,87.0,6,98.0,3,3,72
15.0,92.0,8,69.0,1,4,68
19.0,75.0,7,65.0,0,4,63
16.0,84.0,8,51.0,0,3,66
15.0,76.0,8,53.0,1,4,65
19.0,96.0,5,86.0,3,3,69
14.0,86.0,10,78.0,3,4,66
24.0,93.0,7,77.0,0,3,68
13.0,73.0,9,59.0,0,4,63
23.0,68.0,7,92.0,3,4,65
27.0,98.0,6,93.0,0,4,72
13.0,72.0,8,56.0,1,4,64
27.0,78.0,8,,0,3,69
19.0,94.0,5,53.0,1,3,68
31.0,91.0,7,94.0,2,3,75
15.0,94.0,6,77.0,3,4,70
14.0,74.0,8,100.0,1,3,66
29.0,100.0,7,87.0,3,5,74
21.0,61.0,4,90.0,2,3,63
30.0,70.0,6,84.0,2,3,70
28.0,83.0,7,76.0,1,3,71
18.0,83.0,9,76.0,0,4,66
19.0,75.0,6,,2,3,64
25.0,84.0,5,64.0,0,3,67
15.0,68.0,5,95.0,0,5,64
24.0,68.0,6,67.0,0,3,60
24.0,84.0,6,74.0,2,2,69
34.0,84.0,6,95.0,1,3,73
25.0,74.0,9,80.0,4,3,71
31.0,93.0,6,80.0,3,2,74
24.0,80.0,7,99.0,2,2,69
17.0,68.0,7,99.0,1,1,65
20.0,86.0,7,73.0,3,3,69
24.0,96.0,5,69.0,1,4,72
19.0,84.0,9,69.0,2,4,68
,65.0,4,92.0,0,4,66
18.0,69.0,8,54.0,1,2,65
27.0,97.0,9,69.0,1,2,70
26.0,73.0,7,72.0,1,3,65
23.0,97.0,9,84.0,1,3,71
14.0,78.0,8,85.0,2,4,66
35.0,91.0,10,63.0,1,5,72
24.0,60.0,5,69.0,1,5,64
14.0,73.0,5,98.0,2,4,65
20.0,62.0,6,,2,3,63
27.0,79.0,5,58.0,2,1,68
22.0,80.0,9,72.0,2,4,69
28.0,69.0,8,99.0,0,3,67
25.0,99.0,8,69.0,1,3,70
22.0,62.0,9,51.0,2,2,63
17.0,86.0,4,60.0,2,3,67
16.0,84.0,7,86.0,1,2,67
14.0,88.0,8,77.0,2,3,69
21.0,99.0,7,91.0,3,4,74
